,text,svc,dt,rf,knn,nb,lr
0,(... Could it be… I’ve become… a doll?),fear,fear,fear,anger,fear,fear
1,"wts lfb ph only onhand official

— enhypen jay jake &amp; sunoo doll border carnival yizhiyu r1 pob pc set 
— 3,000 php
with toploaders, free sf (jnt) https://t.co/k8EAjrl0cG",fear,fear,fear,fear,fear,fear
2,friendly reminder that doll boys and angel boys are valid and good and just as shattered 🥺,sadness,anger,fear,fear,sadness,sadness
3,"RARE Hopi 12.25"" COYOTE DANCER Kachina Doll Hand Carved Wood Sculpture SILAS ROY https://t.co/TOTcU9cwCJ eBay",fear,fear,fear,anger,fear,fear
4,"@FEDERALPLATES yes yes Ms. @ b0ywif3, victim doll, into ageplay, it really couldn't",fear,anger,fear,fear,fear,fear
5,@CthuhluRisen @ZeroT_H She is also a demigod inhabiting a doll body,fear,fear,fear,fear,fear,fear
6,@Khartemis_ Isn't it obvious? The Doll wants to grace you..Good Hunter.,anger,sadness,anger,fear,joy,anger
7,"@Nihilarity @TabitaSurge See the replies for screenshots of the ""sex doll"" tweet, plus one where they were joking about the Manchester Arena bombing. Any sensible person would not want to associate themselves with this individual.
https://t.co/ROHC3T4STe",anger,anger,fear,fear,anger,anger
8,Usually wouldn’t start drama but man made 2k in one day of doll money then donated $150 of that and blocks the dolls that disagree w him. He is just an asshole stealing ur money and gives 0 fucks about trans issues. Also I lit know girls he’s paid to suck off so let that settle🤷‍♀️,fear,fear,fear,fear,fear,fear
9,@laurenmariaaaa_ @SamandColby They should get married. Colby x haunted doll 💍,fear,fear,fear,anger,fear,fear
10,"@Mamcirha24 We have to suffer for beauty doll, semhle 😘",fear,fear,fear,fear,fear,joy
11,"69. The Doll""s house de Katherine Mansfield. Celli. #BomDiaPR https://t.co/grNqT1T8gK",fear,fear,fear,anger,fear,anger
12,@sureshr81846624 @_salt_doll @prakashraaj Fake 😂 this guru never say to worship him .he has many workers are working for free . 😉 Just watch his some clips you get your answer who is finding this guru,fear,fear,anger,fear,joy,fear
13,filmed a lil doll hunting vlog for ticktac 🥰 https://t.co/8bGmTh3azn,fear,fear,fear,fear,fear,fear
14,She's like a little paper doll @bitchnotbutch https://t.co/Pj5Sh8FVZB,anger,fear,anger,fear,fear,anger
15,"@jameelajamil Mornin’ Doll, lookin’ good.

Just watched your interview with Lucy Lawless re “My Life is Murder” for Acorn. Greatly enjoyed it. 😀",fear,joy,fear,anger,fear,fear
16,telling a doll you want to use her for practice before trying something out on the person who really matters to you,anger,sadness,fear,fear,anger,anger
17,@RamiishaT Ya Ma Amaircan GirlFraind ❤️❤️ Where Are U Doll 🔥 https://t.co/DNUFm661vH,fear,fear,anger,anger,fear,fear
18,"@shrutzzistic Are usko pta bhi nhi chala 😂😂
U r looking like a doll ❤️",fear,fear,fear,anger,fear,fear
19,"🐭I can’t sleep. Also, I need good doll kinfeels RN.",fear,anger,fear,fear,fear,fear
